"trait","year","H2"
"QY_max","2020",0.38
"QY_max","2021",0.38
"Fv.Fm_L1","2020",0.38
"Fv.Fm_L1","2021",0.38
"QY_L1","2020",0.22
"QY_L1","2021",0.34
"NPQ_L1","2020",0.52
"NPQ_L1","2021",0.52
"qN_L1","2020",0.52
"qN_L1","2021",0.51
"qP_L1","2020",0.22
"qP_L1","2021",0.3
"Rfd_L1","2020",0.53
"Rfd_L1","2021",0.51
"NPQmaxme","2020",0.56
"NPQmaxme","2021",0.53
"NPQendme","2020",0.53
"NPQendme","2021",0.48
"npqslop1me","2020",0.57
"npqslop1me","2021",0.53
"npqslop2me","2020",0.65
"npqslop2me","2021",0.64
"af1npq","2020",0.6
"af1npq","2021",0.59
"bf1npq","2020",0.56
"bf1npq","2021",0.5
"af2npq","2020",0.56
"af2npq","2021",0.51
"bf2npq","2020",0.6
"bf2npq","2021",0.6
"af3npq","2020",0.62
"af3npq","2021",0.61
"bf3npq","2020",0.56
"bf3npq","2021",0.5
"cf3npq","2020",0.55
"cf3npq","2021",0.51
"af4npq","2020",0.56
"af4npq","2021",0.5
"bf4npq","2020",0.63
"bf4npq","2021",0.54
"cf4npq","2020",0.49
"cf4npq","2021",0.45
"phipsiistart","2020",0.22
"phipsiistart","2021",0.34
"phippsiiend","2020",0.47
"phippsiiend","2021",0.45
"af3phipsii","2020",0.57
"af3phipsii","2021",0.52
"bf3phipsii","2020",0.43
"bf3phipsii","2021",0.39
"cf3phipsii","2020",0.23
"cf3phipsii","2021",0.28
"af4phipsii","2020",0.44
"af4phipsii","2021",0.39
"bf4phipsii","2020",0.59
"bf4phipsii","2021",0.54
"cf4phipsii","2020",0.25
"cf4phipsii","2021",0.29
"phipsiietos","2020",0.56
"phipsiietos","2021",0.5
"phtoNPQend","2020",0.54
"phtoNPQend","2021",0.54
